Report Date,FORESADDLE PRICE,FORESADDLE CHANGE,FORESADDLE %,FORESADDLE WEIGHT
08/22/2018,397.6069,-0.4555,49.1200,34.8752
08/21/2018,398.0624,0.2746,49.1200,34.8752
08/20/2018,397.7878,5.1020,49.1200,34.8752
08/17/2018,392.6858,-0.7934,49.1200,34.8752
08/16/2018,393.4792,0.4876,49.1200,34.8752
08/15/2018,392.9916,1.5432,49.1200,33.8928
08/14/2018,391.4484,1.0629,49.1200,33.8928
08/13/2018,390.3855,-3.9597,49.1200,33.8928
08/10/2018,394.3452,-0.5213,49.1200,33.8928
08/09/2018,394.8665,-0.1569,49.1200,33.8928
08/08/2018,395.0234,-4.4166,49.1200,34.8752
08/07/2018,399.4400,-1.5460,49.1200,34.8752
08/06/2018,400.9860,-0.8831,49.1200,34.8752
08/03/2018,401.8691,0.7439,49.1200,33.8928
08/02/2018,401.1252,-2.6003,49.1200,33.8928
08/01/2018,403.7255,0.4169,49.1200,33.8928
07/31/2018,403.3086,1.0514,49.1200,33.8928
07/30/2018,402.2572,-14.1611,49.1200,33.8928
07/27/2018,416.4183,0.5314,49.1200,33.8928
07/26/2018,415.8869,-1.7007,49.1200,33.8928
07/25/2018,417.5876,-1.1126,49.1200,33.8928
07/24/2018,418.7002,-1.4171,49.1200,33.8928
07/23/2018,420.1173,-0.4105,49.1200,33.8928
07/20/2018,420.5278,0.5457,49.1200,35.3664
07/19/2018,419.9821,-0.5991,49.1200,35.3664
07/18/2018,420.5812,7.0581,49.1200,35.3664
07/17/2018,413.5231,0.0212,49.1200,35.3664
07/16/2018,413.5019,0.8396,49.1200,35.3664
