Report Date,HINDSADDLE PRICE,HINDSADDLE CHANGE,HINDSADDLE %,HINDSADDLE WEIGHT
09/24/2018,388.7654,-0.6531,45.0100,30.1567
09/21/2018,389.4185,-0.3465,45.0100,30.1567
09/20/2018,389.7650,-1.1450,45.0100,30.1567
09/19/2018,390.9100,-2.4376,45.0100,30.1567
09/18/2018,393.3476,-4.2482,45.0100,30.1567
09/17/2018,397.5958,2.9933,45.0100,30.1567
09/14/2018,394.6025,0.8534,45.0100,30.1567
09/13/2018,393.7491,-0.7780,45.0100,30.1567
09/12/2018,394.5271,1.0006,45.0100,30.1567
09/11/2018,393.5265,4.6550,45.0100,30.1567
09/10/2018,388.8715,-0.8877,45.0100,30.1567
09/07/2018,389.7592,-4.6122,45.0100,30.1567
09/06/2018,394.3714,-1.4736,45.0100,30.1567
09/05/2018,395.8450,-0.6866,45.0100,31.0569
09/04/2018,396.5316,-3.3071,45.0100,31.0569
08/31/2018,399.8387,-1.2306,45.0100,31.0569
08/30/2018,401.0693,-1.0732,45.0100,31.0569
08/29/2018,402.1425,-1.4207,45.0100,31.5070
08/28/2018,403.5632,-1.8127,45.0100,31.5070
08/27/2018,405.3759,4.4582,45.0100,31.5070
08/24/2018,400.9177,0.0833,45.0100,31.5070
08/23/2018,400.8344,0.8868,45.0100,31.5070
08/22/2018,399.9476,3.9696,45.0100,31.9571
08/21/2018,395.9780,-0.8481,45.0100,31.9571
08/20/2018,396.8261,-3.6889,45.0100,31.9571
08/17/2018,400.5150,0.8291,45.0100,31.9571
08/16/2018,399.6859,-0.7577,45.0100,31.9571
08/15/2018,400.4436,-2.8380,45.0100,31.0569
08/14/2018,403.2816,5.7829,45.0100,31.0569
08/13/2018,397.4987,-2.8722,45.0100,31.0569
08/10/2018,400.3709,1.2271,45.0100,31.0569
08/09/2018,399.1438,2.7500,45.0100,31.0569
08/08/2018,396.3938,1.2763,45.0100,31.9571
08/07/2018,395.1175,1.6733,45.0100,31.9571
08/06/2018,393.4442,2.3774,45.0100,31.9571
08/03/2018,391.0668,-0.3589,45.0100,31.0569
08/02/2018,391.4257,-1.7808,45.0100,31.0569
08/01/2018,393.2065,-3.9429,45.0100,31.0569
07/31/2018,397.1494,0.3729,45.0100,31.0569
07/30/2018,396.7765,3.5418,45.0100,31.0569
07/27/2018,393.2347,-0.9682,45.0100,31.0569
07/26/2018,394.2029,5.0523,45.0100,31.0569
07/25/2018,389.1506,-5.0065,45.0100,31.0569
07/24/2018,394.1571,-0.4248,45.0100,31.0569
07/23/2018,394.5819,-5.0201,45.0100,31.0569
07/20/2018,399.6020,0.7887,45.0100,32.4072
07/19/2018,398.8133,-2.7093,45.0100,32.4072
07/18/2018,401.5226,-0.8045,45.0100,32.4072
